Sección,Categoría,Producto,Medidas,Diametro
Obras Disponibles,Floreros y Macetas,Florero Dodecaedro,14 x 18 x 18 cm,No
Obras Disponibles,Floreros y Macetas,Florero Minimalista,6 x 23 x 4 cm,No
Obras Disponibles,Bowls y Ensaladeras,Bowl Amarillo,21 x 10 cm,Sí
Obras Disponibles,Bowls y Ensaladeras,Ensaladera torneada,22 x 7.5 cm,Sí
Obras Disponibles,Bowls y Ensaladeras,Bowl Café,15 x 7.5 cm,Sí
Obras Disponibles,Tazas,Taza con mensaje,10 x 13.5 x 7.5 cm,Sí
Obras Disponibles,Tazas,Taza Azul para café express,8 x 5.5 cm,Sí
Obras Disponibles,Tazas,Taza Azul,9 x 9 cm,Sí
Obras Disponibles,Tazas,Taza Café para café express,8 x 5.5 cm,Sí
Obras Disponibles,Tazas,Tazón con Pescados,10 x 9.5 cm,Sí
Obras Disponibles,Tazas,Tazón con Ballena,10 x 9.5 cm,Sí
Obras Disponibles,Escultóricos,Adorno Negro,16 x 13 11.5 cm,No
Obras Disponibles,Otros,Adorno Terracota,17.5 x 7.5 cm,Sí
Obras Disponibles,Otros,Joyero para buró,3 x 7 x 10 cm,No
Obras Disponibles,Otros,Tequilero,12 x 4 cm,No
Sobre Pedido,,Frases en Cerámica,4 x  20 x 2 cm,No
Sobre Pedido,,Iniciales,20 x 2.5,Sí
Sobre Pedido,,Botanero,3 x 20 x 35 cm,No
Sobre Pedido,,Adornos en Cerámica,5 x 15 cm,Sí
Sobre Pedido,,Cuadro para Sala,110 x 25 x 4 cm,No
Sobre Pedido,,Árboles Navideños,20 x 5 cm,No
